name,count
love,795
all,853
know,330
family,327
thank,270
sorry,251
want,238
like,217
god,193
say,225
just,162
hope,149
forgive,144
life,140
lord,139
people,125
take,142
tell,119
see,119
peace,115
here,110
jesus,97
pain,96
death,92
ask,91
give,91
keep,89
strong,85
out,82
go,230
heart,80
father,79
years,78
find,76
friends,75
man,74
when,72
right,67
being,66
come,105
please,66
ready,64
let,63
stay,63
now,63
care,63
pray,61
forgiveness,59
always,59
caused,59
time,58
back,57
never,54
ill,54
way,53
christ,52
mom,52
warden,51
too,50
innocent,49
only,48
good,48
home,48
allah,46
sir,46
apologize,45
heaven,45
today,44
very,43
lot,43
make,43
ive,42
may,42
row,41
day,41
much,40
sister,40
world,40
hate,39
support,39
kill,82
bless,38
really,37
wish,36
victims,36
things,36
continue,36
still,35
how,35
appreciate,34
thing,34
truly,34
brother,33
mr,33
must,32
ok,32
son,31
feel,31
brothers,31
think,31
