name,count,group
love,795,love
all,853,other
know,330,understanding
family,327,family,
thank,270,gratitude
sorry,251,sorrow
want,238,desire
like,217,desire
god,193,religion
say,225,language
just,162,other
hope,149,desire
forgive,144,forgiveness
life,140,life
lord,139,religion
people,125,other
take,142,other
tell,119,language
see,119,other
peace,115,religion
here,110,prison
jesus,97,religion
pain,96,pain
death,92,death
ask,91,other
give,91,other
keep,89,other
strong,85,readiness
out,82,other
go,230,other
heart,80,sincerity
father,79,family
years,78,time
find,76,other
friends,75,people
man,74,people
when,72,other
right,67,correct
being,66,life
come,105,other
please,66,readiness
ready,64,readiness
let,63,other
stay,63,other
now,63,time
care,63,family
pray,61,religion
forgiveness,59,forgiveness
always,59,other
caused,59,crime
time,58,time
back,57,other
never,54,other
ill,54,other
way,53,other
christ,52,religion
mom,52,family
warden,51,prison
too,50,other
innocent,49,innocence
only,48,other
good,48,other
home,48,family
allah,46,religion
sir,46,prison
apologize,45,sorrow
heaven,45,religion
today,44,time
very,43other
lot,43,other
make,43,other
ive,42,other
may,42,desire
row,41,other
day,41,time
much,40,other
sister,40,family
world,40,world
hate,39,hatred
support,39,love
kill,82,crime
bless,38,religion
really,37,other
wish,36,desire
victims,36,crime
things,36,other
continue,36,future
still,35,other
how,35,other
appreciate,34,
thing,34other
truly,34,sincerity
brother,33,family
mr,33,other
must,32,other
ok,32,readiness
son,31,family
feel,31,other
brothers,31,family
think,31,other
